route	og:title	og:image
/	Understand and improve how AI recommends your company	/og/og-default.png
/about/	About	/og/og-company.png
/ai-visibility/	What Is AI Visibility?	/og/og-guide.png
/audit/	AI Visibility Audit	/og/og-audit.png
/blog/	Blog	/og/og-blog.png
/blog/a-citation-is-not-proof/	A Citation Is Not Proof	/og/og-blog.png
/book/	Book an AI Visibility Call	/og/og-book.png
/contact/	Contact	/og/og-company.png
/faq/	FAQ	/og/og-company.png
/methodology/	Methodology	/og/og-platform.png
/platform/	What We Measure	/og/og-platform.png
/pricing/	AI Visibility Pricing	/og/og-pricing.png
/privacy/	Privacy Policy	/og/og-company.png
/research/	Research Basis	/og/og-platform.png
/services/	AI Visibility and GEO Services	/og/og-services.png
/snapshot/	Get a Complimentary AI Visibility Snapshot	/og/og-snapshot.png
/terms/	Terms of Use	/og/og-company.png
